year,municipality,township,perfecture,treated_municipalities,treatment_year,gdvotes,valid_votes,syriza_votes,pasok_votes,turnout
2016,Μυλοποτάμου,Γεροποτάμου,Ρεθύμνης,0,1,3.3206714863374587,8161,2782,1225,0.5897954758979548
2012,Νάξου & Μικρών Κυκλάδων,Δονούσης,Κυκλάδων,0,0,5.208164587720719,12346,2266,2287,0.5870940130296257
2013,Νάξου & Μικρών Κυκλάδων,Δονούσης,Κυκλάδων,0,0,6.639588859416445,12064,3264,2027,0.577086821334609
2015,Νάξου & Μικρών Κυκλάδων,Δονούσης,Κυκλάδων,0,0,5.242945399899816,11978,4359,1020,0.5683780962323242
2016,Νάξου & Μικρών Κυκλάδων,Δονούσης,Κυκλάδων,0,1,6.58984515664386,11108,3540,1341,0.5346811070998797
2012,Νισύρου,Νισύρου,Δωδεκανήσου,0,0,2.522255192878338,674,60,132,0.3062244434348024
2013,Νισύρου,Νισύρου,Δωδεκανήσου,0,0,1.82370820668693,658,198,128,0.29666366095581603
2015,Νισύρου,Νισύρου,Δωδεκανήσου,0,0,3.1613976705490847,601,241,40,0.26256006989951947
2016,Νισύρου,Νισύρου,Δωδεκανήσου,0,1,3.6850921273031827,597,217,54,0.2781919850885368
2012,Οινουσσών,Οινουσσών,Χίου,0,0,3.6674816625916873,409,21,70,0.274496644295302
2013,Οινουσσών,Οινουσσών,Χίου,0,0,2.3696682464454977,422,34,71,0.29325920778318276
2015,Οινουσσών,Οινουσσών,Χίου,0,0,2.2332506203473943,403,69,44,0.26117952041477643
2016,Οινουσσών,Οινουσσών,Χίου,0,1,4.444444444444445,450,109,56,0.31869688385269124
2012,Οροπεδίου Λασιθίου,Οροπεδίου Λασιθίου,Λασιθίου,0,0,2.497808939526731,2282,231,626,0.5975386226760933
2013,Οροπεδίου Λασιθίου,Οροπεδίου Λασιθίου,Λασιθίου,0,0,2.5236593059936907,2219,436,674,0.5834867210097292
2015,Οροπεδίου Λασιθίου,Οροπεδίου Λασιθίου,Λασιθίου,0,0,2.658788774002954,2031,847,123,0.5584272752268353
2016,Οροπεδίου Λασιθίου,Οροπεδίου Λασιθίου,Λασιθίου,0,1,2.876931273308471,1877,676,341,0.5241552638927673
2012,Πάρου,Πάρου,Κυκλάδων,0,0,5.532484929671802,7465,1426,663,0.6138475454321191
2013,Πάρου,Πάρου,Κυκλάδων,0,0,5.3861652115513765,7445,2140,696,0.6127067731050942
2015,Πάρου,Πάρου,Κυκλάδων,0,0,5.433104029201179,7123,2388,191,0.5744354838709678
2016,Πάρου,Πάρου,Κυκλάδων,0,1,6.848015182666456,6323,1993,295,0.508729584037332
2012,Πάτμου,Πάτμου,Δωδεκανήσου,0,0,6.1504667764964305,1821,158,316,0.554337899543379
2013,Πάτμου,Πάτμου,Δωδεκανήσου,0,0,4.921700223713646,1788,246,363,0.5442922374429223
2015,Πάτμου,Πάτμου,Δωδεκανήσου,0,0,3.844041735310269,1821,421,168,0.5473399458972047
2016,Πάτμου,Πάτμου,Δωδεκανήσου,0,1,5.8240396530359355,1614,457,151,0.4935779816513762
2012,Παξών,Παξών,Κέρκυρας,0,0,7.665982203969883,1461,358,165,0.5500753012048193
2013,Παξών,Παξών,Κέρκυρας,0,0,5.603164139749506,1517,552,187,0.5707298720842738
2015,Παξών,Παξών,Κέρκυρας,0,0,4.163454124903624,1297,640,52,0.4886963074604371
2016,Παξών,Παξών,Κέρκυρας,0,1,6.2596599690881,1294,509,81,0.49220235831114495
2012,Πλατανιά,Βουκολιών,Χανίων,0,0,4.713900326565383,14086,2421,2119,0.6392557295212162
2013,Πλατανιά,Βουκολιών,Χανίων,0,0,6.077184681354429,13526,4633,2084,0.6178512698702723
2015,Πλατανιά,Βουκολιών,Χανίων,0,0,4.946364719904649,13424,6019,426,0.6215390313917956
2016,Πλατανιά,Βουκολιών,Χανίων,0,1,7.052622772525726,11953,5009,880,0.55320035173786275
2012,Πόρου,Πόρου,Α' Πειραιώς,0,0,9.637340496977838,2978,335,303,0.6545054945054946
2013,Πόρου,Πόρου,Α' Πειραιώς,0,0,9.210996072831131,2801,574,276,0.6009440034327398
2015,Πόρου,Πόρου,Α' Πειραιώς,0,0,7.5179448432187375,2647,839,96,0.5802279701885138
2016,Πόρου,Πόρου,Α' Πειραιώς,0,1,7.577019150707744,2402,653,104,0.5243396638288583
2012,Ρεθύμνης,Αρκαδίου,Ρεθύμνης,0,0,3.5457368607256576,25439,4310,4152,0.6969779993972438
2013,Ρεθύμνης,Αρκαδίου,Ρεθύμνης,0,0,4.739955129512544,24515,7741,4382,0.670633292299275
2015,Ρεθύμνης,Αρκαδίου,Ρεθύμνης,0,0,3.7523377501890094,25131,10661,1252,0.6822587213248269
2016,Ρεθύμνης,Αρκαδίου,Ρεθύμνης,0,1,4.86117432862995,21970,8937,1817,0.5931425485961123
2012,Ρόδου,Αρχαγγέλου,Δωδεκανήσου,0,0,5.845749202123394,62353,6844,10217,0.6300955961114817
2013,Ρόδου,Αρχαγγέλου,Δωδεκανήσου,0,0,6.083237374568186,60790,13868,9596,0.6139225805148507
2015,Ρόδου,Αρχαγγέλου,Δωδεκανήσου,0,0,5.797643842749284,61456,20583,4843,0.6168361253023658
2016,Ρόδου,Αρχαγγέλου,Δωδεκανήσου,0,1,7.915243176845419,52102,18010,4951,0.530629703938323
2012,Σάμου,Βαθέος,Σάμου,0,0,6.096735565158537,19207,2432,2378,0.48189778457987303
2013,Σάμου,Βαθέος,Σάμου,0,0,7.160823366356964,19481,4777,2118,0.48942317355039694
2015,Σάμου,Βαθέος,Σάμου,0,0,6.685688709857894,17874,6466,759,0.46360948280334074
2016,Σάμου,Βαθέος,Σάμου,0,1,9.677614102873703,16564,5478,960,0.4312755487280964
2012,Σίφνου,Σίφνου,Κυκλάδων,0,0,4.396186440677966,1888,339,176,0.5843392138656762
2013,Σίφνου,Σίφνου,Κυκλάδων,0,0,4.910955207771182,1853,454,184,0.5720901512812596
2015,Σίφνου,Σίφνου,Κυκλάδων,0,0,4.043645699614891,1558,519,85,0.4813098548038307
2016,Σίφνου,Σίφνου,Κυκλάδων,0,1,5.463474524248005,1629,509,97,0.5071606475716065
2012,Σαλαμίνας,Αμπελακίων,Β' Πειραιώς,0,0,12.41856494585973,22257,4147,2107,0.7189417921054332
2013,Σαλαμίνας,Αμπελακίων,Β' Πειραιώς,0,0,12.615539489338337,21854,6278,1800,0.7027913558013893
2015,Σαλαμίνας,Αμπελακίων,Β' Πειραιώς,0,0,11.06245576786978,22608,8227,697,0.7176687194463843
2016,Σαλαμίνας,Αμπελακίων,Β' Πειραιώς,0,1,11.659947951217022,19597,7708,709,0.62155475911066
2012,Σαμοθράκης,Σαμοθράκης,Εβρου,0,0,4.115421002838222,2114,236,489,0.4836421871425303
2013,Σαμοθράκης,Σαμοθράκης,Εβρου,0,0,5.304518664047151,2036,418,394,0.46815359852839733
2015,Σαμοθράκης,Σαμοθράκης,Εβρου,0,0,6.601340897369779,1939,655,73,0.4509302325581395
2016,Σαμοθράκης,Σαμοθράκης,Εβρου,0,1,7.2796934865900385,1827,683,217,0.4294781382228491
2012,Σερίφου,Σερίφου,Κυκλάδων,0,0,5.283018867924529,1060,144,180,0.45125585355470416
2013,Σερίφου,Σερίφου,Κυκλάδων,0,0,4.899135446685879,1041,221,188,0.44335604770017034
2015,Σερίφου,Σερίφου,Κυκλάδων,0,0,3.768506056527591,743,208,86,0.32360627177700346
2016,Σερίφου,Σερίφου,Κυκλάδων,0,1,5.926724137931035,928,276,84,0.4029526704298741
2012,Σητείας,Σητείας,Λασιθίου,0,0,2.3072594259988746,12439,1464,3373,0.6387163029525033
2013,Σητείας,Σητείας,Λασιθίου,0,0,2.248179854388351,12499,2950,3610,0.6422918807810895
2015,Σητείας,Σητείας,Λασιθίου,0,0,2.5142474019443513,11932,4836,977,0.6234064785788924
2016,Σητείας,Σητείας,Λασιθίου,0,1,3.5389944761726433,10681,4065,1352,0.5580459770114943
2012,Σικίνου,Σικίνου,Κυκλάδων,0,0,2.73972602739726,219,48,24,0.4888392857142857
2013,Σικίνου,Σικίνου,Κυκλάδων,0,0,2.666666666666667,225,65,34,0.5044843049327354
2015,Σικίνου,Σικίνου,Κυκλάδων,0,0,1.342281879194631,149,53,8,0.3097713097713098
2016,Σικίνου,Σικίνου,Κυκλάδων,0,1,3.508771929824561,171,57,16,0.37093275488069416
2012,Σκιάθου,Σκιάθου,Μαγνησίας,0,0,10.60256832400395,3037,351,408,0.6274793388429752
2013,Σκιάθου,Σκιάθου,Μαγνησίας,0,0,8.530183727034121,3048,692,366,0.6279357231149567
2015,Σκιάθου,Σκιάθου,Μαγνησίας,0,0,8.977556109725686,2807,907,109,0.5630892678034102
2016,Σκιάθου,Σκιάθου,Μαγνησίας,0,1,10.209424083769633,2674,841,122,0.5322452229299363
2012,Σκοπέλου,Σκοπέλου,Μαγνησίας,0,0,4.150545198733732,2843,363,287,0.5329958755155606
2013,Σκοπέλου,Σκοπέλου,Μαγνησίας,0,0,4.341736694677871,2856,722,278,0.5332337565347274
2015,Σκοπέλου,Σκοπέλου,Μαγνησίας,0,0,3.0421216848673946,2564,958,68,0.4885670731707317
2016,Σκοπέλου,Σκοπέλου,Μαγνησίας,0,1,5.343511450381679,2489,884,92,0.4735540334855403
2012,Σκύρου,Σκύρου,Ευβοιας,0,0,5.851063829787234,2256,366,387,0.5692657077971234
2013,Σκύρου,Σκύρου,Ευβοιας,0,0,8.543603364320496,2259,584,412,0.563622754491018
2015,Σκύρου,Σκύρου,Ευβοιας,0,0,7.202762703502713,2027,684,157,0.49963026867143207
2016,Σκύρου,Σκύρου,Ευβοιας,0,1,7.6923076923076925,1976,782,197,0.4963576990705853
2012,Σπετσών,Σπετσών,Α' Πειραιώς,0,0,6.6455696202531636,2528,365,210,0.5993361782835467
2013,Σπετσών,Σπετσών,Α' Πειραιώς,0,0,6.092355452076057,2577,477,224,0.6083569405099151
2015,Σπετσών,Σπετσών,Α' Πειραιώς,0,0,5.074506645187273,2483,718,79,0.5739713361072585
2016,Σπετσών,Σπετσών,Α' Πειραιώς,0,1,6.307977736549166,2156,635,91,0.49723247232472323
2012,Σφακίων,Σφακίων,Χανίων,0,0,4.740904079382579,1814,186,234,0.5780752071383046
2013,Σφακίων,Σφακίων,Χανίων,0,0,5.836341756919374,1662,462,213,0.5328630971465214
2015,Σφακίων,Σφακίων,Χανίων,0,0,3.7840845854201444,1797,809,35,0.5781853281853282
2016,Σφακίων,Σφακίων,Χανίων,0,1,7.2106261859582546,1581,619,141,0.5041454081632653
2012,Σύμης,Σύμης,Δωδεκανήσου,1,0,6.629143214509068,1599,148,351,0.37229336437718274
2013,Σύμης,Σύμης,Δωδεκανήσου,1,0,5.579399141630901,1631,305,436,0.3663522012578616
2015,Σύμης,Σύμης,Δωδεκανήσου,1,0,6.458481192334989,1409,461,150,0.3248040571692024
2016,Σύμης,Σύμης,Δωδεκανήσου,1,1,10.658307210031348,1276,322,211,0.3007306151308037
2012,Σύρου - Ερμούπολης,Ανω Σύρου,Κυκλάδων,0,0,4.032009849184364,12996,3050,1065,0.6187687473218112
2013,Σύρου - Ερμούπολης,Ανω Σύρου,Κυκλάδων,0,0,4.171503753579444,12921,4709,1150,0.6117028831131941
2015,Σύρου - Ερμούπολης,Ανω Σύρου,Κυκλάδων,0,0,4.666348144609015,12558,5568,418,0.6031700288184438
2016,Σύρου - Ερμούπολης,Ανω Σύρου,Κυκλάδων,0,1,6.220450542319458,10787,4382,595,0.5160503277041573
2012,Τήλου,Τήλου,Δωδεκανήσου,1,0,6.395348837209303,516,41,112,0.47470101195952163
2013,Τήλου,Τήλου,Δωδεκανήσου,1,0,4.139433551198257,459,85,100,0.42578849721706863
2015,Τήλου,Τήλου,Δωδεκανήσου,1,0,2.3255813953488373,344,106,43,0.315018315018315
2016,Τήλου,Τήλου,Δωδεκανήσου,1,1,7.512953367875648,386,128,54,0.3577386468952734
2012,Τήνου,Εξωμβούργου,Κυκλάδων,0,0,3.7049126815733633,6127,927,841,0.5977560975609756
2013,Τήνου,Εξωμβούργου,Κυκλάδων,0,0,2.5963149078726966,5970,1396,878,0.5839201877934272
2015,Τήνου,Εξωμβούργου,Κυκλάδων,0,0,2.4351226448631356,5626,2008,241,0.564859437751004
2016,Τήνου,Εξωμβούργου,Κυκλάδων,0,1,3.2287822878228782,5420,2108,352,0.5415126386252372
2012,Υδρας,Ύδρας,Α' Πειραιώς,0,0,7.546174142480211,1895,201,185,0.5925578486554096
2013,Υδρας,Ύδρας,Α' Πειραιώς,0,0,7.519640852974187,1782,347,163,0.5814029363784665
2015,Υδρας,Ύδρας,Α' Πειραιώς,0,0,6.073619631901841,1630,453,46,0.5081047381546134
2016,Υδρας,Ύδρας,Α' Πειραιώς,0,1,8.562300319488818,1565,372,63,0.4921383647798742
2012,Φαιστού,Ζαρού,Ηρακλείου,0,0,3.2240474405289348,14671,1483,4101,0.6549553571428571
2013,Φαιστού,Ζαρού,Ηρακλείου,0,0,4.116102476758215,14091,3088,4122,0.6314586600941071
2015,Φαιστού,Ζαρού,Ηρακλείου,0,0,3.0604490500863557,14475,5600,1134,0.6533218992597942
2016,Φαιστού,Ζαρού,Ηρακλείου,0,1,5.364859355890746,12265,4905,1632,0.5540497809097891
2012,Φολεγάνδρου,Φολεγάνδρου,Κυκλάδων,0,0,1.834862385321101,436,54,69,0.5253012048192771
2013,Φολεγάνδρου,Φολεγάνδρου,Κυκλάδων,0,0,2.083333333333333,480,103,79,0.5797101449275363
2015,Φολεγάνδρου,Φολεγάνδρου,Κυκλάδων,0,0,2.7472527472527473,364,119,33,0.4527363184079602
2016,Φολεγάνδρου,Φολεγάνδρου,Κυκλάδων,0,1,3.3175355450236967,422,126,32,0.5382653061224489
2012,Φούρνων Κορσεών,Φούρνων Κορσεών,Σάμου,0,0,2.577873254564984,931,43,261,0.5221536735838475
2013,Φούρνων Κορσεών,Φούρνων Κορσεών,Σάμου,0,0,1.450777202072539,965,84,290,0.5412226584408301
2015,Φούρνων Κορσεών,Φούρνων Κορσεών,Σάμου,0,0,1.2178619756427604,739,126,79,0.4196479273140261
2016,Φούρνων Κορσεών,Φούρνων Κορσεών,Σάμου,0,1,2.3142509135200973,821,177,170,0.464104013566987
2012,Χάλκης,Χάλκης,Δωδεκανήσου,1,0,4.0625,320,19,100,0.43656207366984995
2013,Χάλκης,Χάλκης,Δωδεκανήσου,1,0,6.134969325153374,326,48,100,0.44474761255115963
2015,Χάλκης,Χάλκης,Δωδεκανήσου,1,0,2.341137123745819,299,53,73,0.3799237611181703
2016,Χάλκης,Χάλκης,Δωδεκανήσου,1,1,5.016722408026756,299,75,63,0.3944591029023747
2012,Χίου,Αγίου Μηνά,Χίου,1,0,4.1672139760935245,30452,3308,5781,0.4874503777692406
2013,Χίου,Αγίου Μηνά,Χίου,1,0,5.142147484308395,29793,5558,5726,0.47687111850950764
2015,Χίου,Αγίου Μηνά,Χίου,1,0,4.792071114744048,29361,8097,2001,0.4800451253208639
2016,Χίου,Αγίου Μηνά,Χίου,1,1,5.92676911402011,26355,7417,3539,0.43275862068965515
2012,Χαλκιδέων,Ανθηδώνος,Ευβοιας,0,0,9.546265852512917,53225,10963,5354,0.7036899929928474
2013,Χαλκιδέων,Ανθηδώνος,Ευβοιας,0,0,9.328589108910892,51712,16766,4883,0.6834245235640842
2015,Χαλκιδέων,Ανθηδώνος,Ευβοιας,0,0,7.692452652407425,53065,22277,2228,0.7080242301328922
2016,Χαλκιδέων,Ανθηδώνος,Ευβοιας,0,1,8.487344978743089,45397,19018,2173,0.6025217333598779
2012,Χανίων,Ακρωτηρίου,Χανίων,0,0,4.232678652663225,50559,9657,6141,0.6477106766763177
2013,Χανίων,Ακρωτηρίου,Χανίων,0,0,5.406237808759214,48703,17396,5679,0.6245175354234789
2015,Χανίων,Ακρωτηρίου,Χανίων,0,0,4.345511543997318,50719,22486,1278,0.644582830272606
2016,Χανίων,Ακρωτηρίου,Χανίων,0,1,5.822126793988022,44245,19183,2522,0.55926333219572
2012,Χερσονήσου,Γουβών,Ηρακλείου,0,0,3.1482955779112682,13817,1795,2784,0.7358470469191032
2013,Χερσονήσου,Γουβών,Ηρακλείου,0,0,4.303947758978925,13476,3889,2715,0.7200256465056636
2015,Χερσονήσου,Γουβών,Ηρακλείου,0,0,3.9115031451088136,13831,5931,780,0.7207024125892345
2016,Χερσονήσου,Γουβών,Ηρακλείου,0,1,5.4592866756393,11888,4748,1175,0.6192956866013752
2012,Ψαρών,Ψαρών,Χίου,0,0,8,200,32,34,0.5319148936170213
2013,Ψαρών,Ψαρών,Χίου,0,0,4.964539007092199,282,57,69,0.4812286689419795
2015,Ψαρών,Ψαρών,Χίου,0,0,1.937984496124031,258,52,15,0.4479166666666667
2016,Ψαρών,Ψαρών,Χίου,0,1,4.3624161073825505,298,110,27,0.521891418563923
