year,municipality,township,perfecture,treated_municipalities,treatment_year,gdvotes,valid_votes,syriza_votes,pasok_votes,turnout
2016,Ανδρου,Ανδρου,Κυκλάδων,0,1,7.668144863266814,5412,1467,213,0.4259069804045015
2012,Αντιπάρου,Αντιπάρου,Κυκλάδων,0,0,3.934871099050204,737,88,136,0.6493392070484582
2013,Αντιπάρου,Αντιπάρου,Κυκλάδων,0,0,3.3112582781456954,755,168,147,0.6651982378854625
2015,Αντιπάρου,Αντιπάρου,Κυκλάδων,0,0,2.5423728813559325,708,234,28,0.6061643835616438
2016,Αντιπάρου,Αντιπάρου,Κυκλάδων,0,1,5.457227138643068,678,222,59,0.576530612244898
2012,Ανωγείων,Ανωγείων,Ρεθύμνης,0,0,0.7941009642654565,1763,207,432,0.6512744735869966
2013,Ανωγείων,Ανωγείων,Ρεθύμνης,0,0,0.48250904704463204,1658,405,368,0.6205089820359282
2015,Ανωγείων,Ανωγείων,Ρεθύμνης,0,0,0,1705,488,49,0.6577932098765432
2016,Ανωγείων,Ανωγείων,Ρεθύμνης,0,1,0,1570,567,187,0.6287545054064878
2012,Αποκορώνου,Αρμένων,Χανίων,0,0,3.7854270863979598,10197,1360,1684,0.6022324592487598
2013,Αποκορώνου,Αρμένων,Χανίων,0,0,4.719975427459814,9767,2906,1566,0.5826870301873285
2015,Αποκορώνου,Αρμένων,Χανίων,0,0,3.75805651958354,10085,3972,333,0.602953485591295
2016,Αποκορώνου,Αρμένων,Χανίων,0,1,5.855599772598067,8795,3361,670,0.5281965047144316
2012,Αρχανών - Αστερουσίων,Αρχανών,Ηρακλείου,0,0,1.6154247003647733,13433,1941,3105,0.723604826546003
2013,Αρχανών - Αστερουσίων,Αρχανών,Ηρακλείου,0,0,2.4982488909642777,12849,4246,2841,0.6921460892049127
2015,Αρχανών - Αστερουσίων,Αρχανών,Ηρακλείου,0,0,1.8068155828314403,13117,6425,757,0.7166193181818182
2016,Αρχανών - Αστερουσίων,Αρχανών,Ηρακλείου,0,1,2.907381615598886,11488,5019,1553,0.6289280630679952
2012,Αστυπάλαιας,Αστυπάλαιας,Δωδεκανήσου,0,0,4,850,103,185,0.43016194331983804
2013,Αστυπάλαιας,Αστυπάλαιας,Δωδεκανήσου,0,0,2.3622047244094486,889,195,223,0.44583751253761283
2015,Αστυπάλαιας,Αστυπάλαιας,Δωδεκανήσου,0,0,1.5132408575031526,793,254,104,0.40111279716742537
2016,Αστυπάλαιας,Αστυπάλαιας,Δωδεκανήσου,0,1,2.5031289111389237,799,326,103,0.41100823045267487
2012,Βιάννου,Βιάννου,Ηρακλείου,0,0,1.2195121951219512,4018,633,1003,0.6065821256038647
2013,Βιάννου,Βιάννου,Ηρακλείου,0,0,1.667548967707782,3778,1293,851,0.5697481526164982
2015,Βιάννου,Βιάννου,Ηρακλείου,0,0,1.403777437468096,3918,2422,225,0.6139141335004701
2016,Βιάννου,Βιάννου,Ηρακλείου,0,1,2.109955423476969,3365,1676,447,0.5336187757691088
2012,Γαύδου,Γαύδου,Χανίων,0,0,11.29032258064516,62,16,6,0.39490445859872614
2013,Γαύδου,Γαύδου,Χανίων,0,0,9.230769230769232,65,24,4,0.4166666666666667
2015,Γαύδου,Γαύδου,Χανίων,0,0,3.8461538461538463,52,31,0,0.27956989247311825
2016,Γαύδου,Γαύδου,Χανίων,0,1,3.278688524590164,61,30,1,0.33152173913043476
2012,Γόρτυνας,Αγίας Βαρβάρας,Ηρακλείου,0,0,2.932696268226378,12139,1396,3511,0.6394668914291735
2013,Γόρτυνας,Αγίας Βαρβάρας,Ηρακλείου,0,0,3.7386412808308096,11555,3193,3172,0.608189904731828
2015,Γόρτυνας,Αγίας Βαρβάρας,Ηρακλείου,0,0,2.7214291677101596,11979,5302,771,0.6424778761061947
2016,Γόρτυνας,Αγίας Βαρβάρας,Ηρακλείου,0,1,4.288214702450408,10284,4518,1448,0.5514504799184943
2012,Διρφύων - Μεσσαπίων,Διρφύων,Ευβοιας,0,0,9.611261969415462,13994,2448,1891,0.6984079453011928
2013,Διρφύων - Μεσσαπίων,Διρφύων,Ευβοιας,0,0,9.291709615667795,13582,3863,1767,0.6783199320781101
2015,Διρφύων - Μεσσαπίων,Διρφύων,Ευβοιας,0,0,7.226261291033268,13617,5357,1166,0.6942844032019578
2016,Διρφύων - Μεσσαπίων,Διρφύων,Ευβοιας,0,1,8.229787234042552,11750,4689,1066,0.6011767715528268
2012,Ελαφονήσου,Ελαφονήσου,Λακωνίας,0,0,5.123674911660777,566,66,101,0.493891797556719
