Categoria: Todas as categorias

Dia,número bolsonaro: (Brasil),número haddad: (Brasil)
2018-09-23,3,0
2018-09-24,2,1
2018-09-25,2,<1
2018-09-26,4,1
2018-09-27,4,0
2018-09-28,4,0
2018-09-29,3,0
2018-09-30,8,3
2018-10-01,5,1
2018-10-02,8,0
2018-10-03,10,1
2018-10-04,10,1
2018-10-05,16,1
2018-10-06,40,8
2018-10-07,100,20
